"RG","TG","COEF","RE"
"GPR158","DVL2","-0.268368022900835","1.19916446274357"
"GFRA1","DVL2","0.361517817319862","4.66032152228812"
"ASTN1","DVL2","0.529529197308145","4.07818243023524"
"ZSCAN1","DVL2","0.761720819383392","3.53636010530276"
"CCNO","DVL2","0.686874342874991","4.56665842055653"
"SLC16A12","DVL2","0.429251334478427","3.08415667537917"
"PART1","DVL2","0.647240165013501","4.68636431011267"
"STK32B","DVL2","0.424133312068852","3.95129203209293"
"ZIC1","DVL2","0.299321067919795","1.31153741538688"
"C16orf89","DVL2","0.539792372434757","5.60116600487387"
"SPHKAP","DVL2","0.620668808117846","4.39196469580734"
"CHST9","DVL2","0.585107640445982","5.22017338952536"
"GPR15","DVL2","0.486481343733252","2.61934883639681"
"CYP4Z2P","DVL2","0.458338245188275","3.22749588101515"
"GLYATL2","DVL2","0.553964126981446","4.96605482073189"
"TFF2","DVL2","0.414941294214774","0.823839408019463"
"CBS","DVL2","0.275838931727065","0.882118331533246"
"AZGP1","DVL2","0.70533296708453","10.7433500850799"
"LY6K","DVL2","0.252522954022775","1.57195013779651"
"DCD","DVL2","0.412363202536561","1.88534358274942"
"BRINP3","DVL2","0.379562164185108","1.44460225877502"
"IL20","DVL2","0.377431540264517","1.366716471316"
"ACTG2","DVL2","0.537621698569179","7.08505066558823"
"INAVA","DVL2","0.65137361166732","4.58031111003404"
"ALB","DVL2","0.441188292235035","4.07004521437285"
"PTX3","DVL2","0.317105586528271","2.77120671639259"
"PCOLCE2","DVL2","-0.474428655575618","5.477189693093"
"GRIK3","DVL2","0.63918012386334","6.15629100185465"
"PRSS12","DVL2","0.592393611148631","4.3814764747208"
"RANBP3L","DVL2","0.426200401256461","3.70408028391294"
"SLC30A8","DVL2","0.255972133448555","0.981723345635707"
"SBSPON","DVL2","0.690685371152727","6.84629488978033"
"CA3","DVL2","-0.333685058893885","3.15335957264332"
"CPA6","DVL2","0.382092390552877","1.42488783252717"
"PTCHD1","DVL2","0.576410422447792","5.3450608505929"
"OXGR1","DVL2","0.536764224524036","3.76185915927646"
"RIC3","DVL2","0.7622771320002","7.06860685174615"
"GPD1","DVL2","-0.446658837259934","6.22876845104767"
"KLK2","DVL2","0.51306163711404","2.04360040306681"
"GNG4","DVL2","0.471355629438428","2.90893484752542"
"SCNN1B","DVL2","0.416146815905186","4.07360995158762"
"RSPO1","DVL2","0.64491714234612","4.88881249166634"
"MUC15","DVL2","0.555140418132513","4.8909882674039"
"BNC1","DVL2","0.664975884520354","4.57139913889874"
"KRT6C","DVL2","0.433255230243747","1.79411425215827"
"SYT9","DVL2","0.618514965070843","3.9878353078461"
"TRH","DVL2","0.503253033998928","1.73208181936463"
"FUT3","DVL2","0.609289198077797","3.42383488012619"
"SMR3B","DVL2","0.292248910800854","1.15561020674693"
"UGT2B7","DVL2","0.501095549008067","2.20766533935296"
"KCNK3","DVL2","0.323555780743559","2.67787584909283"
